Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
127.029999,127.029999,2015-06-23,127.610001,126.879997,127.480003,AAPL,30137100
127.610001,127.610001,2015-06-22,128.059998,127.080002,127.489998,AAPL,33833500
126.599998,126.599998,2015-06-19,127.82,126.400002,127.709999,AAPL,54181300
127.879997,127.879997,2015-06-18,128.309998,127.220001,127.230003,AAPL,35241100
127.300003,127.300003,2015-06-17,127.879997,126.739998,127.720001,AAPL,32768500
127.599998,127.599998,2015-06-16,127.849998,126.370003,127.029999,AAPL,31404000
126.919998,126.919998,2015-06-15,127.239998,125.709999,126.099998,AAPL,39842600
127.169998,127.169998,2015-06-12,128.330002,127.110001,128.190002,AAPL,36754200
128.589996,128.589996,2015-06-11,130.179993,128.479996,129.179993,AAPL,35260400
128.880005,128.880005,2015-06-10,129.339996,127.849998,127.919998,AAPL,38915900
127.419998,127.419998,2015-06-09,128.080002,125.620003,126.699997,AAPL,55771500
127.800003,127.800003,2015-06-08,129.210007,126.830002,128.899994,AAPL,52538200
128.649994,128.649994,2015-06-05,129.690002,128.360001,129.50,AAPL,35314200
129.360001,129.360001,2015-06-04,130.580002,128.910004,129.580002,AAPL,38229300
130.119995,130.119995,2015-06-03,130.940002,129.899994,130.660004,AAPL,30889400
129.960007,129.960007,2015-06-02,130.660004,129.320007,129.860001,AAPL,33556900
130.539993,130.539993,2015-06-01,131.389999,130.050003,130.279999,AAPL,31956000
130.279999,130.279999,2015-05-29,131.449997,129.899994,131.229996,AAPL,50338200
131.779999,131.779999,2015-05-28,131.949997,131.100006,131.860001,AAPL,30647300
132.039993,132.039993,2015-05-27,132.259995,130.050003,130.339996,AAPL,45662800
129.619995,129.619995,2015-05-26,132.910004,129.119995,132.600006,AAPL,70193700
132.539993,132.539993,2015-05-22,132.970001,131.399994,131.600006,AAPL,45123800
131.389999,131.389999,2015-05-21,131.630005,129.830002,130.070007,AAPL,39307500
130.059998,130.059998,2015-05-20,130.979996,129.339996,130.00,AAPL,35965000
130.070007,130.070007,2015-05-19,130.880005,129.639999,130.690002,AAPL,44351200
130.190002,130.190002,2015-05-18,130.720001,128.360001,128.380005,AAPL,50176600
128.770004,128.770004,2015-05-15,129.490005,128.210007,129.070007,AAPL,37921200
128.949997,128.949997,2015-05-14,128.949997,127.160004,127.410004,AAPL,44487500
126.010002,126.010002,2015-05-13,127.190002,125.870003,126.150002,AAPL,34322000
125.870003,125.870003,2015-05-12,126.879997,124.82,125.599998,AAPL,47109200
126.32,126.32,2015-05-11,127.559998,125.629997,127.389999,AAPL,42035800
